timeFrom,timeTo,direction,day,motorcycle,tricycle,car,lightTruck,heavyTruck,total
11,12,South to North (Straight),Friday,227,169,90,77,24,587
11,12,South to North (Straight),Monday,198,150,93,77,22,540
12,13,South to North (Straight),Friday,174,149,61,44,6,434
12,13,South to North (Straight),Monday,135,129,57,45,6,372
13,14,South to North (Straight),Friday,172,122,73,34,3,404
13,14,South to North (Straight),Monday,138,113,46,13,1,312
14,15,South to North (Straight),Friday,156,134,72,19,6,388
14,15,South to North (Straight),Monday,143,127,63,19,6,358
15,16,South to North (Straight),Friday,172,123,73,16,2,386
15,16,South to North (Straight),Monday,133,127,65,40,4,369
16,17,South to North (Straight),Friday,194,144,64,39,5,446
16,17,South to North (Straight),Monday,141,124,54,47,8,374
17,18,South to North (Straight),Friday,239,178,95,77,21,610
17,18,South to North (Straight),Monday,192,177,84,70,22,545
18,19,South to North (Straight),Friday,176,131,60,51,4,422
18,19,South to North (Straight),Monday,151,143,67,17,2,380
19,20,South to North (Straight),Friday,171,93,53,14,1,332
19,20,South to North (Straight),Monday,134,102,38,6,1,281
6,7,South to West (Left Turn to Vicentillo W),Friday,91,71,11,1,1,175
6,7,South to West (Left Turn to Vicentillo W),Monday,78,42,6,2,1,129
7,8,South to West (Left Turn to Vicentillo W),Friday,123,103,25,2,7,260
7,8,South to West (Left Turn to Vicentillo W),Monday,122,63,2,3,1,210
8,9,South to West (Left Turn to Vicentillo W),Friday,119,100,16,6,4,245
8,9,South to West (Left Turn to Vicentillo W),Monday,138,89,18,6,3,254
9,10,South to West (Left Turn to Vicentillo W),Friday,97,103,34,1,4,239
9,10,South to West (Left Turn to Vicentillo W),Monday,103,95,30,4,4,236
10,11,South to West (Left Turn to Vicentillo W),Friday,119,93,33,5,4,254
10,11,South to West (Left Turn to Vicentillo W),Monday,119,92,21,1,3,236
11,12,South to West (Left Turn to Vicentillo W),Friday,150,132,53,32,8,375
11,12,South to West (Left Turn to Vicentillo W),Monday,164,127,44,34,13,382
12,13,South to West (Left Turn to Vicentillo W),Friday,124,113,30,12,7,286
12,13,South to West (Left Turn to Vicentillo W),Monday,118,89,27,13,7,254
13,14,South to West (Left Turn to Vicentillo W),Friday,111,98,33,7,6,255
13,14,South to West (Left Turn to Vicentillo W),Monday,95,79,7,2,1,202
14,15,South to West (Left Turn to Vicentillo W),Friday,109,98,23,7,5,242
14,15,South to West (Left Turn to Vicentillo W),Monday,126,76,23,7,2,235
15,16,South to West (Left Turn to Vicentillo W),Friday,109,111,32,3,4,250
15,16,South to West (Left Turn to Vicentillo W),Monday,95,73,26,3,6,203
16,17,South to West (Left Turn to Vicentillo W),Friday,128,95,19,2,6,253
16,17,South to West (Left Turn to Vicentillo W),Monday,111,106,33,5,4,259
17,18,South to West (Left Turn to Vicentillo W),Friday,191,130,63,27,10,421
17,18,South to West (Left Turn to Vicentillo W),Monday,164,127,44,31,16,382
18,19,South to West (Left Turn to Vicentillo W),Friday,96,97,51,8,3,255
18,19,South to West (Left Turn to Vicentillo W),Monday,111,101,24,7,3,246
19,20,South to West (Left Turn to Vicentillo W),Friday,54,32,24,9,4,123
19,20,South to West (Left Turn to Vicentillo W),Monday,65,37,23,1,2,128
